id_parte,title,categoria,eje,ancho,alto,espesor,diametro,diametro_centrado,taladros,altura_interna,semimetalica,ceramica,low_metal,imagen
M1207,M1207 - Pastillas de Freno Cerámica Traseras Fiat Chevrolet Opel,pastilla,TRASERO,101.8,47.1,17.1,,,,,false,true,false,M1207.svg
M1208,M1208 - Pastillas de Freno Cerámica Subaru XV Crosstrek,pastilla,DELANTERO,137.3,56.8,16.4,,,,,true,true,false,M1208.svg
M1212,M1212 - Pastillas de Freno Cerámica Delanteras Para Ford,pastilla,DELANTERO,195.3,54.4,17.5,,,,,false,true,false,M1212.svg
M1213,M1213 - Pastillas de Freno Cerámica Traseras Para Ford,pastilla,TRASERO,116.6,50,16.6,,,,,true,true,false,M1213.svg
M1215,M1215 - Pastillas de Freno Cerámica Delanteras para Peugeot,pastilla,DELANTERO,155.1,60.3,17.3,,,,,true,true,false,M1215.svg
M1217,M1217 - Pastillas de Freno Cerámica Traseras Para Chevrolet,pastilla,TRASERO,121,37.2,14.8,,,,,false,true,false,M1217.svg
M1218,M1218 - Pastillas de Freno Cerámica Delanteras para Citroen Peugeot,pastilla,DELANTERO,136.8,59.3,18.5,,,,,true,true,false,M1218.svg
M1223,M1223 - Pastillas de Freno Cerámica Delanteras para Nissan Renault  Duster / 410608481R,pastilla,DELANTERO,116.4,52.5,17.3,,,,,true,true,false,M1223.svg
M1228,M1228 - Pastillas de Freno Cerámica Delanteras Para Ford  Mazda,pastilla,DELANTERO,194.2,68,16.4,,,,,true,true,true,M1228.svg
M1229,M1229 - Pastillas de Freno Cerámica Delanteras Para Chevrolet,pastilla,DELANTERO,132,112,15,,,,,false,true,false,M1229.svg
M1234,M1234 - Pastillas de Freno Cerámica Delanteras para Citroen Peugeot,pastilla,DELANTERO,180.2,75,17,,,,,true,true,false,M1234.svg
M1235,M1235 - Pastillas de Freno Cerámica Delanteras Para Ford,pastilla,DELANTERO,180.1,61.5,18,,,,,false,true,true,M1235.svg
M1236,M1236 - Pastillas de Freno Cerámica Traseras Para Ford,pastilla,TRASERO,116.6,55.1,16.5,,,,,false,true,false,M1236.svg
M1239,M1239 - Pastillas de Freno Cerámica Traseras Para Ford,pastilla,TRASERO,148.8,54.1,16.6,,,,,false,true,true,M1239.svg
M124,M124 - Pastillas de Freno Cerámica Delanteras para Ford  Kia,pastilla,DELANTERO,151.5,47.6,18,,,,,true,true,false,M124.svg
M1240,M1240- Pastillas de Freno Ceramica Delanteras Mazda,pastilla,DELANTERO,140.4,59.5,15.5,,,,,false,true,false,M1240.svg
M1242,M1242 - Pastillas de Freno Cerámica Traseras Chery   Arriz Tiggo 7,pastilla,TRASERO,100,39,15.6,,,,,false,true,false,M1242.svg
M1248,M1248- Pastillas de Freno Cerámica Delanteras Nissan,pastilla,DELANTERO,168.7,58.2,16,,,,,false,true,false,M1248.svg
M1249,M1249 - Pastillas de Freno Cerámica Delanteras Mazda  CX-5 (2012-2019),pastilla,DELANTERO,142,60.9,15.8,,,,,true,true,true,M1249.svg
M1250,M1250 - Pastillas de Freno Cerámica Traseras Mazda  CX-5 CX-3,pastilla,TRASERO,104.7,43.1,14.4,,,,,false,true,true,M1250.svg
M1253,M1253 - Pastillas de Freno Cerámica Traseras Para Ford,pastilla,TRASERO,123.2,51.9,16.4,,,,,false,true,false,M1253.svg
M1258,M1258- Pastillas de Freno Cerámica Delanteras BYD - Geely,pastilla,DELANTERO,150.6,52.7,17.5,,,,,false,true,false,M1258.svg
M1259,M1259- Pastillas de Freno Ceramica Trasera Mahindra,pastilla,TRASERO,95.2,42,16.5,,,,,false,true,false,M1259.svg
M1260,M1260- Pastillas de Freno Ceramica Delantera Mahindra,pastilla,DELANTERO,158,60.6,17.6,,,,,false,true,false,M1260.svg
M1262,M1262 - Pastillas de Freno Cerámica Delanteras Toyota,pastilla,DELANTERO,122.2,48.9,17.5,,,,,true,true,true,M1262.svg
M1263,M1263- Pastillas de Freno Cerámica Delantera Toyota,pastilla,DELANTERO,134.4,63.4 & 57.1,18.7,,,,,false,true,false,M1263.svg
M1270,M1270 - Pastillas de Freno Cerámica Traseras para Chagan Mazda Mitsubishi Peugeot,pastilla,TRASERO,101.6,44.4,14.3,,,,,true,true,true,M1270.svg
M1274,M1274- Pastillas de Freno Cerámica Trasera BMW,pastilla,TRASERO,123.2,45.2 & 44.1,17.2,,,,,false,true,false,M1274.svg
M1277,M1277- Pastillas de Freno Cerámica Delanteras Opel,pastilla,DELANTERO,123,53.3,17.3,,,,,false,true,false,M1277.svg
M1280,M1280 - Pastillas de Freno Ceramica Traseras Nissan,pastilla,TRASERO,99.8,59.3,13.8,,,,,false,true,false,M1280.svg
